Margin,Matching Percentage
5,37.4
10,63.3
15,75.3
20,85.0
25,89.4
30,92.10000000000001
35,94.8
40,96.8
45,98.6
50,99.7
5,38.2
10,66.4
15,80.9
20,88.5
25,92.2
30,94.3
35,96.3
40,97.8
45,98.4
50,99.3
5,39.1
10,66.60000000000001
15,78.2
20,86.7
25,91.5
30,94.0
35,95.1
40,96.3
45,98.0
50,99.7
5,38.5
10,65.60000000000001
15,78.9
20,86.8
25,89.9
30,92.30000000000001
35,95.1
40,97.2
45,99.2
50,99.9
5,36.199999999999996
10,63.5
15,78.10000000000001
20,90.0
25,94.5
30,96.5
35,97.7
40,99.0
45,99.3
50,99.8
5,36.9
10,65.3
15,77.10000000000001
20,87.4
25,90.7
30,93.2
35,96.39999999999999
40,98.8
45,99.1
50,99.7
5,37.6
10,65.10000000000001
15,79.80000000000001
20,89.8
25,94.0
30,97.2
35,98.1
40,99.2
45,99.7
50,99.8
5,41.099999999999994
10,68.8
15,83.5
20,90.8
25,93.8
30,95.89999999999999
35,97.39999999999999
40,98.6
45,99.2
50,99.3
5,36.1
10,61.7
15,74.0
20,83.89999999999999
25,91.2
30,95.19999999999999
35,96.89999999999999
40,98.6
45,99.0
50,99.6
5,39.0
10,66.3
15,78.8
20,87.6
25,91.3
30,95.6
35,97.8
40,99.0
45,99.5
50,99.9
